,SIFT,classlabel
0,[7. 0. 0. ... 0. 0. 0.],0.0
1,[0. 0. 0. ... 0. 0. 0.],0.0
2,[ 4. 30. 36. ...  8. 10. 18.],0.0
3,[  9.  43. 118. ...   8.   0.   0.],0.0
4,[ 5. 22. 33. ... 34. 85. 54.],0.0
5,[11. 50. 82. ...  3.  1.  9.],0.0
6,[53.  2.  3. ... 39.  2.  2.],0.0
7,[ 7. 17. 83. ...  0.  5. 93.],0.0
8,[0. 1. 4. ... 0. 0. 1.],0.0
9,[ 7.  5. 92. ...  0.  0.  4.],0.0
10,[ 34. 132.   8. ...   0.   0.   0.],0.0
11,[28. 11.  8. ...  0.  0.  0.],0.0
12,[ 6.  1.  0. ...  2. 23. 76.],0.0
13,[ 2.  9. 40. ...  0.  0.  0.],0.0
14,[12. 32. 97. ...  0.  0.  0.],0.0
15,[12.  7.  9. ... 12. 28.  9.],0.0
16,[ 0.  0.  0. ... 52.  2.  2.],0.0
17,[0. 0. 0. ... 0. 0. 2.],0.0
18,[ 0.  0.  0. ...  0.  4. 40.],0.0
19,[24. 42. 22. ...  0.  0.  0.],0.0
20,[0. 1. 4. ... 0. 0. 0.],0.0
21,[33. 61. 31. ...  3.  0.  0.],0.0
22,[0. 0. 3. ... 1. 0. 0.],0.0
23,[ 0.  0.  0. ...  0.  0. 11.],0.0
24,[19. 12.  2. ... 17.  0.  0.],0.0
25,[ 34. 132.   8. ...   0.   0.   0.],0.0
26,[  5.   3.   9. ...   0.  37. 117.],0.0
27,[0. 0. 0. ... 1. 3. 0.],0.0
28,[  0.   0.   0. ...   1. 108.  47.],0.0
29,[18. 50. 12. ...  0.  0.  0.],0.0
30,[0. 0. 2. ... 0. 0. 0.],0.0
31,[  5.  53. 122. ...  84.  86.  13.],0.0
32,[0. 0. 0. ... 0. 0. 0.],0.0
33,[ 0.  1. 36. ...  8.  1.  0.],0.0
34,[13.  1.  0. ...  6.  0.  0.],0.0
35,[155. 109.  44. ...  59.   1.   0.],0.0
36,[39. 90. 49. ...  0.  0. 11.],0.0
37,[130.  34.   0. ...   0.   0.   0.],0.0
38,[ 0. 10.  9. ... 36. 38.  4.],0.0
39,[52. 16.  0. ...  0.  1. 14.],0.0
40,[ 5.  0.  0. ... 16.  0.  0.],0.0
41,[ 1. 12. 76. ...  0. 13.  8.],0.0
42,[14. 20.  3. ... 17.  0.  0.],0.0
43,[  8.  99. 137. ...   0.   0.   0.],0.0
44,[25.  4.  2. ...  0.  1. 13.],0.0
